time Ha FUV NUV u V J W3 UV+IR
0.181 0.00043507520385059194 0.0003628252473462737 0.0006118546647219051 0.0007649673237632161 0.0010152339532209559 0.0009496284970885904 0.0 0.000433535854433671
0.182 0.0004324887418836807 0.00035939046688764103 0.0006074560733130148 0.0007612054789225094 0.0010113691488201197 0.0009455183489615917 0.0 0.0004307904558836671
0.183 0.0004299164523822291 0.00035597450723829846 0.0006030815838958083 0.0007574642470336711 0.0010075255215359644 0.0009414307223072139 0.0 0.00042806010068887316
0.184 0.0004273581808767873 0.0003525771632652677 0.0005987309337763037 0.0007537434034307117 0.001003702840553507 0.0009373653716579674 0.0 0.0004253446248877936
0.185 0.00042481377540964227 0.000349198233171114 0.0005944038645320313 0.0007500427271007604 0.000999900878810895 0.0009333220555377557 0.0 0.00042264386718499536
0.186 0.00042228308648063317 0.000345837518421993 0.0005901001219198721 0.0007463620006053249 0.0009961194129184516 0.0009293005363758116 0.0 0.00041995766889362174
0.187 0.00041976596699445185 0.0003424948236776818 0.0005858194557864903 0.000742701010003621 0.0009923582230799417 0.0009253005804228887 0.0 0.000417285873879445
0.188 0.00041726227220934903 0.00033916995672341583 0.0005815616199810068 0.0007390595447779389 0.0009886170930159396 0.0009213219576697894 0.0 0.00041462832850641586
0.189 0.00041477185968716627 0.00033586272840359165 0.0005773263722701222 0.0007354373977610154 0.0009848958098891256 0.0009173644417679654 0.0 0.00041198488158363395
0.19 0.00041229458924472604 0.0003325729525571658 0.0005731134742553749 0.0007318343650653252 0.0009811941642316644 0.0009134278099522606 0.0 0.00040935538431375294
0.191 0.0004098303229064806 0.0003293004459548102 0.0005689226912926715 0.0007282502460141851 0.0009775119498744733 0.0009095118429656401 0.0 0.00040673969024270206
0.192 0.0004073789248584063 0.0003260450282376481 0.0005647537924138323 0.0007246848430747037 0.0009738489638783114 0.0009056163249859811 0.0 0.0004041376552107642
0.193 0.00040494026140307183 0.0003228065218576154 0.000560606550250204 0.0007211379617924544 0.000970205006466647 0.0009017410435546082 0.0 0.0004015491373048847
0.194 0.00040251420091589327 0.00031958475201935275 0.0005564807409582578 0.00071760941072783 0.000966579880960254 0.0008978857895068329 0.0 0.00039897399681221963
0.195 0.0004001006138025138 0.00031637954662360574 0.000552376144147118 0.0007140990013940674 0.000962973393713616 0.0008940503569041853 0.0 0.00039641209617491776
0.196 0.00039769937245724614 0.00031319073621204524 0.0005482925428078827 0.0007106065481967723 0.0009593853540527228 0.0008902345429683942 0.0 0.0003938632999459949
0.197 0.00039531035122259393 0.00031001815391352175 0.0005442297232447823 0.0007071318683751131 0.0009558155742146713 0.0008864381480170702 0.0 0.0003913274747463773
0.198 0.00039293342634980647 0.00030686163539164594 0.0005401874750080886 0.000703674781944364 0.0009522638692886629 0.0008826609754010045 0.0 0.0003888044892230234
0.199 0.00039056847596041436 0.0003037210187937394 0.000536165590828727 0.0007002351116400193 0.0009487300571585737 0.0008789028314430551 0.0 0.0003862942140080972
0.2 0.00038825889600600967 0.00030080732164768743 0.0005323905613994946 0.0006969086313501554 0.0009454369452261918 0.0008750704198881739 0.0 0.00038392310358673987
0.201 0.0003860090495768253 0.0002981421342244308 0.000528885530982618 0.0006937050500009705 0.000942407320295841 0.0008711539646892991 0.0 0.0003817040680292197
0.202 0.00038377036868455524 0.00029549017359219436 0.0005253978953292271 0.0006905173673839575 0.0009393927307868242 0.0008672569460726425 0.0 0.00037949604510043174
0.203 0.00038154274305161564 0.00029285130911520864 0.0005219274826381253 0.0006873454264736443 0.0009363930282002396 0.0008633791720707758 0.0 0.00037729892603300503
0.20400000000000001 0.00037932606402613924 0.0002902254120835465 0.0005184741236408386 0.0006841890725594254 0.0009334080662263791 0.0008595204535462914 0.0 0.00037511260366302694
0.20500000000000002 0.0003771202245502141 0.0002876123556754704 0.0005150376515520857 0.0006810481532003431 0.0009304377007018867 0.0008556806041364258 0.0 0.00037293697239870277
0.20600000000000002 0.00037492511912879506 0.00028501201492065484 0.0005116179020214073 0.0006779225181808487 0.0009274817895680471 0.000851859440199076 0.0 0.0003707719281897051
0.20700000000000002 0.00037274064379949986 0.0002824242666643508 0.0005082147130860258 0.0006748120194677223 0.0009245401928299169 0.00084805678076007 0.0 0.00036861736849738496
0.20800000000000002 0.00037056669610299986 0.0002798489895323761 0.0005048279251248171 0.0006717165111680184 0.0009216127725166228 0.0008442724474617608 0.0 0.00036647319226555344
0.209 0.00036840317505423256 0.00027728606389694445 0.0005014573808133792 0.000668635849487947 0.0009186993926424782 0.0008405062645128146 0.0 0.00036433929989210614
0.21 0.0003662499811142108 0.00027473537184332823 0.0004981029250801832 0.0006655698926928805 0.0009157999191691189 0.0008367580586392131 0.0 0.0003622155932012107
0.211 0.00036410701616259537 0.00027219679713731925 0.0004947644050637585 0.0006625185010681409 0.0009129142199684704 0.0008330276590364201 0.0 0.00036010197541624917
0.212 0.00036197418347081416 0.00026967022519342176 0.0004914416700709047 0.000659481536880854 0.0009100421647866285 0.0008293148973226943 0.0 0.0003579983511333124
0.213 0.00035985138767589606 0.000267155543043838 0.0004881345715358641 0.000656458864342612 0.0009071836252085825 0.0008256196074934205 0.0 0.0003559046262953936
